"GEO_NAME","Algoma","Brant","Bruce","Chatham-Kent","Cochrane","Dufferin","Durham","Elgin","Essex","Frontenac","Greater Sudbury / Grand Sudbury","Grey","Haldimand-Norfolk","Haliburton","Halton","Hamilton","Hastings","Huron","Kawartha Lakes","Kenora","Lambton","Lanark","Leeds and Grenville","Lennox and Addington","Manitoulin","Middlesex","Muskoka","Niagara","Nipissing","Northumberland","Ottawa","Oxford","Parry Sound","Peel","Perth","Peterborough","Prescott and Russell","Prince Edward","Rainy River","Renfrew","Simcoe","Stormont. Dundas and Glengarry","Sudbury","Thunder Bay","Timiskaming","Toronto","Waterloo","Wellington","York"
"Muskoka",0,0,0,0,0,0,30,0,0,0,0,0,0,135,85,30,0,0,25,0,0,0,0,0,0,0,17155,20,35,0,0,0,345,175,0,20,0,0,0,0,1255,0,0,0,20,535,40,35,260
"Niagara",0,275,50,0,20,0,140,0,20,20,25,0,1000,0,6125,11845,20,0,0,20,40,0,0,0,0,170,0,144485,0,0,125,55,0,2495,0,0,0,0,0,0,100,0,0,0,0,2395,515,270,490
"Nipissing",0,0,0,0,135,0,0,0,0,0,480,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,50,25,27295,0,65,0,540,40,0,0,0,0,0,55,20,0,145,0,140,105,25,0,35
"Northumberland",0,0,0,0,0,0,3835,0,0,100,0,0,0,0,35,20,2690,0,75,35,0,0,0,45,0,20,0,0,0,18100,95,0,0,170,0,1950,0,65,0,0,35,0,0,0,0,1380,20,0,285
"Ottawa",30,0,0,0,20,0,60,0,0,505,50,0,0,0,40,70,65,0,0,35,0,1510,945,0,0,80,20,25,55,0,370510,0,0,245,0,60,1600,0,0,1115,70,660,0,20,0,1055,90,95,140
"Oxford",0,1355,25,0,0,0,0,635,25,0,0,0,1315,0,220,265,0,60,0,0,20,0,0,0,0,3950,0,25,0,0,30,31135,0,240,1630,0,0,0,0,0,35,0,0,0,0,230,4295,425,45
"Parry Sound",0,0,0,0,20,20,25,0,0,0,40,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,1445,0,2620,0,0,0,8525,145,0,0,0,0,0,0,185,0,25,0,0,185,45,20,65
"Peel",20,220,70,0,0,1265,1000,30,120,145,65,65,90,0,30430,2675,70,0,35,0,35,0,30,0,0,465,75,610,20,0,505,125,0,356940,25,100,0,0,0,40,1050,0,0,35,35,130285,2220,1670,32820
"Perth",0,40,60,0,0,0,0,40,0,0,0,25,0,0,35,30,0,825,0,0,0,0,0,0,0,815,0,0,0,0,0,710,0,60,25250,0,0,0,0,0,25,0,0,0,0,170,2970,820,20
"Peterborough",0,0,0,0,25,20,2315,0,0,45,0,0,0,55,70,30,330,0,1955,20,0,0,0,0,0,0,0,0,20,1230,150,0,0,250,0,41390,0,0,0,25,110,0,0,0,0,915,25,35,320
"Prescott and Russell",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,16615,0,0,0,0,0,16615,0,0,55,0,1025,0,0,0,35,0,0,0
"Prince Edward",0,0,0,0,0,0,70,0,0,180,0,0,0,0,0,0,2985,0,0,0,0,0,0,740,0,0,0,0,0,135,35,0,0,30,0,0,0,3540,0,0,0,0,0,0,0,180,0,0,0
"Rainy River",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6845,0,0,0,0,75,0,0,0,0,0
"Renfrew",0,0,0,0,0,0,40,0,0,70,0,0,0,0,0,0,130,0,0,0,0,350,0,20,0,25,20,0,165,0,3540,0,0,40,0,35,0,0,0,33205,45,35,0,0,0,75,30,0,20
"Simcoe",0,45,70,0,35,780,475,20,20,35,65,1860,0,50,665,145,35,0,180,60,0,0,0,0,0,145,1355,95,65,0,205,0,85,8265,0,65,0,0,0,25,139190,0,0,40,0,12645,335,245,20115
"Stormont. Dundas and Glengarry",0,0,0,0,25,0,20,0,0,65,0,0,0,0,0,0,0,0,0,0,0,120,1030,0,0,0,0,0,0,0,5245,0,0,0,0,0,1425,0,0,30,25,31080,0,0,0,75,0,0,0
"Sudbury",140,0,0,0,80,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,25,0,0,0,0,110,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4445,0,0,0,0,0,0
"Thunder Bay",165,0,0,0,60,0,0,0,0,0,45,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,115,0,0,0,0,55465,0,40,0,20,0
"Timiskaming",0,0,0,0,345,0,0,0,0,0,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,95,0,25,0,0,0,0,0,0,0,0,0,0,0,20,20,10610,30,0,0,0
"Toronto",45,130,110,30,35,150,10770,0,150,395,120,120,95,40,7565,1675,125,30,85,80,50,0,35,25,0,535,160,615,45,180,740,85,75,78465,60,210,0,30,0,60,1445,0,0,25,0,884035,1535,775,101210
"Waterloo",0,2155,130,35,25,85,90,65,65,40,0,100,130,0,3335,2115,0,105,20,0,50,0,0,0,0,675,35,190,0,0,160,1320,25,5140,1875,20,0,0,0,25,135,0,0,25,0,3075,192335,16270,735
"Wellington",0,140,160,0,0,930,45,0,20,25,0,310,30,0,4520,995,0,100,0,0,0,0,0,0,0,150,65,90,0,0,100,110,0,5815,900,20,0,0,0,0,155,0,0,0,0,2290,10825,67770,510
"York",0,60,70,0,0,185,5550,0,60,205,60,20,35,30,1860,500,75,0,130,35,40,0,0,0,0,330,140,225,35,60,425,35,35,28260,0,130,0,0,0,50,3820,0,0,20,0,165855,685,420,236600
